n_iti,n_man,n_c2rmf,n_mrt,n_re,icp,lia,metallo,pixe,raman,sem_eds,tomo,xrf,xr,description
ITI_0011,NA,NA,"VAR PC VG 12
A2 US 56 RR24",NA,1,0,0,0,0,0,0,0,0,
ITI_0013,NA,NA,C.FR.NE/2,NA,1,1,0,0,0,0,0,0,1,
ITI_0014,NA,NA,C.FR.NE/3,NA,1,0,0,0,0,0,0,0,1,
ITI_0063,NA,NA,SP107,NA,1,1,0,0,0,1,0,0,1,
ITI_0066,NA,NA,SP696,NA,1,0,0,0,0,0,0,0,1,
ITI_0289,NA,NA,SP221,NA,1,1,0,0,0,1,0,0,1,
ITI_0290,NA,NA,SP812,NA,1,0,0,0,0,0,0,0,0,
ITI_0315,NA,NA,RS74,NA,1,1,0,0,0,1,0,0,1,
ITI_0331,NA,NA,SP705,NA,1,0,0,0,0,0,0,0,1,
ITI_0348,NA,NA,RS134,NA,1,0,0,0,0,0,0,0,1,
ITI_0351,NA,NA,SP31,NA,1,0,0,0,0,0,0,0,0,
ITI_0363,NA,NA,SP56e,NA,1,0,0,0,0,0,0,0,0,
ITI_0364,NA,NA,SP56b,NA,1,0,0,0,0,0,0,0,0,
ITI_0365,NA,NA,SP56c,NA,1,0,0,0,0,0,0,0,0,
ITI_0368,NA,NA,51876,NA,1,1,0,0,0,1,0,0,1,
ITI_0376,NA,NA,SP55,NA,1,0,0,0,0,0,0,0,1,
ITI_0377,NA,NA,SP27,NA,1,0,0,0,0,0,0,0,1,
ITI_0387,NA,NA,RS135,NA,1,0,0,0,0,0,0,0,1,
ITI_0416,NA,NA,RS49,NA,1,1,0,0,0,1,0,0,1,
ITI_0419,NA,NA,SP14,NA,1,0,0,0,0,0,0,0,0,
ITI_0421,NA,NA,SP847,NA,1,0,0,0,0,0,0,0,0,
ITI_0539,NA,NA,SP10,NA,1,0,0,0,0,0,0,0,0,
ITI_0541,NA,NA,SP699,NA,1,0,0,0,0,0,0,0,0,
ITI_0542,NA,NA,SP213,NA,1,0,0,0,0,0,0,0,1,
ITI_0586,NA,NA,SP710,NA,1,0,0,0,0,0,0,0,0,
ITI_0588,NA,NA,SP230,NA,1,0,0,0,0,0,0,0,0,
ITI_0589,NA,NA,SP32,NA,1,0,0,0,0,0,0,0,0,
ITI_0599,NA,NA,SP235,NA,1,0,0,0,0,0,0,0,0,
ITI_0616,NA,NA,SP37a,NA,1,0,0,0,0,0,0,0,0,
ITI_0617,NA,NA,SP37b,NA,1,0,0,0,0,0,0,0,0,
ITI_0803,20505.01,82925,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0804,20508.03,82931,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0805,20508.02,82930,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0806,20508.01,82929,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0807,20509.01,82934,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0808,20509.02,82932,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0809,20509.03,82933,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0812,20509.06,82927,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0813,20510.02a,82478,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0818,20510.01a,82483,NA,NA,1,0,1,1,0,1,0,0,1,
ITI_0822,20510.01e,82487,NA,NA,1,0,0,1,0,0,0,0,1,
ITI_0824,20510.01g,82489,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0825,20510.01h,82490,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0845,20505.04.a,82890,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0846,20505.10.01,82900,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0847,20505.08.02 - 20505.08.b,82928,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0854,20505.13,82500,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0856,20505.09,82935,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0910,"17182.01
17182.a",82503,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0912,17183.03,82504,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0913,17183.04,82505,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0914,17183.05,82506,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0915,"17188.01
17188.a
17188.04",82507,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0916,17192.04,82508,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0917,17241,82509,NA,NA,1,0,1,1,0,1,0,0,1,
ITI_0918,"17179.01
17179.a",82510,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0919,17179.02 17179.b,82511,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0920,20475.02,82512,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0921,20475.04,82513,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0922,20475.03,82514,NA,NA,1,0,0,1,1,0,1,1,1,
ITI_0923,20475.05,82515,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0924,20806.01 - 20806.a,82516,NA,NA,1,0,0,0,0,0,1,0,1,
ITI_0925,20806.02 - 20806.b,82517,NA,NA,1,0,0,0,0,0,1,0,1,
ITI_0926,20806.04 - 20806.d,82518,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0927,"20806.03
20806.c",82519,NA,NA,1,0,0,0,1,0,0,1,1,
ITI_0928,20807.01 - 20807.a,82520,NA,NA,1,0,0,1,0,0,1,0,1,
ITI_0929,20807.02 - 20807.b,82521,NA,NA,1,0,0,0,0,0,1,0,1,
ITI_0930,20807.03 - 20807.c,82522,NA,NA,1,0,0,0,0,0,1,0,1,
ITI_0931,20800.05,82523,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0933,20798,82525,NA,NA,1,0,0,0,0,0,0,0,1,
ITI_0936,20476.03 - 20476.c,82528,NA,NA,1,0,0,1,0,0,0,0,1,
ITI_0946,17182.b,82907,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0947,17175,82497,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_0995,20800.02,82914,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1009,20807.04,82915,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1011,20808.01,82910,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1015,20808.05,82909,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1032,20782,82911,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1033,20783.01,82912,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1034,20783.02,82913,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1037,20799,82908,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1075,20505.08.01 - 20505.08.a,82926,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1076,20505.08.03,82897,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1077,20505.08.04,82898,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1078,20505.08.05,82899,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1082,20505.10.02,82901,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1083,20505.10.03,82902,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1084,20505.10.04,82903,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1085,20505.10.05,82904,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1086,20505.10.06,82905,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1088,20505.04.b,82891,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1089,20505.04.c,82892,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1092,20504.04,82889,NA,NA,1,0,1,0,0,1,0,0,1,
ITI_1232,20478.01,82922,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1233,20479.01,82923,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1234,20483.02,82921,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1237,20490.02,82918,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1238,20492.01,82920,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1239,20496.03,82919,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1231,20797,82924,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1240,20491.01,82916,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1241,20491.02(b),82917,NA,NA,1,0,0,0,0,0,0,0,0,
ITI_1062,NA,NA,NA,158,0,1,0,0,0,1,0,0,0,
ITI_1146,NA,NA,NA,166,0,1,0,0,0,1,0,0,1,
ITI_1066,NA,NA,NA,170,0,1,0,0,0,1,0,0,1,
ITI_1064,NA,NA,NA,174,0,1,0,0,0,1,0,0,0,
ITI_1054,NA,NA,NA,190,0,1,0,0,0,1,0,0,0,
ITI_1055,NA,NA,NA,191,0,1,0,0,0,1,0,0,0,
ITI_1044,NA,NA,NA,215,0,1,0,0,0,1,0,0,1,
ITI_1048,NA,NA,NA,226,0,1,0,0,0,1,0,0,1,
ITI_1050,NA,NA,NA,231,0,1,0,0,0,1,0,0,0,
ITI_1045,NA,NA,NA,236,0,1,0,0,0,1,0,0,1,
ITI_0639,NA,NA,NA,250,0,1,0,0,0,1,0,0,0,
ITI_1063,NA,NA,NA,345,0,1,0,0,0,1,0,0,0,
ITI_1051,NA,NA,NA,409,0,1,0,0,0,1,0,0,0,
ITI_1052,NA,NA,NA,410,0,1,0,0,0,1,0,0,0,
ITI_1053,NA,NA,NA,411,0,1,0,0,0,1,0,0,0,
ITI_0337,NA,NA,2060/1b,NA,0,1,0,0,0,1,0,0,1,
ITI_0396,NA,NA,SP123,NA,0,1,0,0,0,1,0,0,1,
ITI_0314,NA,NA,RS136,NA,0,1,0,0,0,1,0,0,1,
ITI_0418,NA,NA,SP280,NA,0,1,0,0,0,1,0,0,0,
ITI_0415,NA,NA,SP865,NA,0,1,0,0,0,1,0,0,0,
ITI_0389,NA,NA,1210-9/B1,NA,0,1,0,0,0,1,0,0,0,
ITI_1236,NA,NA,MC AL 92/9 bis,NA,0,1,0,0,0,1,0,0,0,
ITI_0001,NA,NA,"VAR PC VG 12
A2 US 26 RR11",NA,0,1,0,0,0,1,0,0,0,
ITI_0003,NA,NA,"VAR PC VG 12
A2 US 26 RR1",NA,0,1,0,0,0,0,0,0,0,
ITI_0033,NA,NA,A 88 12 F- 03,NA,0,1,0,0,0,0,0,0,1,
ITI_0426,NA,NA,"AN1-027
25-F04",NA,0,1,0,0,0,0,0,0,0,
ITI_0858,20504.01,82886,NA,NA,0,0,1,0,0,1,0,0,1,
ITI_1103,20505.04.g,82896,NA,NA,0,0,1,0,0,1,0,0,0,
-,-,-,NA,NA,0,0,0,1,0,0,0,0,0,
ITI_0937,20505.02b,82529,NA,NA,0,0,0,1,0,0,0,0,0,
ITI_0907,17180.01,82502,NA,NA,0,0,0,1,0,0,0,0,1,
ITI_0939,17173,82501,NA,NA,0,0,0,1,0,0,0,0,1,
ITI_1100,20505.04.d,82893,NA,NA,0,0,0,0,0,1,0,0,0,
ITI_1091,20504.03,82905,NA,NA,0,0,0,0,0,0,0,0,1,
ITI_0932,20800.03,82524,NA,NA,0,0,0,0,0,0,0,0,1,
ITI_1090,20504.02,82887,NA,NA,0,0,0,0,0,0,0,0,1,
ITI_0810,20509.04,82476,NA,NA,0,0,0,0,0,0,0,0,1,
ITI_0062,NA,NA,"66131
SP695",NA,0,0,0,0,0,0,0,0,1,
ITI_0802,NA,NA,SP72,NA,0,0,0,0,0,0,0,0,1,
ITI_0336,NA,NA,SP98,NA,0,0,0,0,0,0,0,0,1,
ITI_0353,NA,NA,SP218a,NA,0,0,0,0,0,0,0,0,1,
ITI_0604,NA,NA,SP850,NA,0,0,0,0,0,0,0,0,1,
ITI_0605,NA,NA,SP854,NA,0,0,0,0,0,0,0,0,1,
ITI_0595,NA,NA,RS852,NA,0,0,0,0,0,0,0,0,1,
ITI_0338,NA,NA,SP815,NA,0,0,0,0,0,0,0,0,1,
ITI_0347,NA,NA,SP816a,NA,0,0,0,0,0,0,0,0,1,
ITI_1243,NA,NA,SP816b,NA,0,0,0,0,0,0,0,0,1,
ITI_0346,NA,NA,SP814b,NA,0,0,0,0,0,0,0,0,1,
ITI_0334,NA,NA,SP97,NA,0,0,0,0,0,0,0,0,1,
ITI_0335,NA,NA,SP227,NA,0,0,0,0,0,0,0,0,1,
ITI_0349,NA,NA,SP864,NA,0,0,0,0,0,0,0,0,1,
ITI_0067,NA,NA,1000-E1,NA,0,0,0,0,0,0,0,0,1,
ITI_0394,NA,NA,RS160,NA,0,0,0,0,0,0,0,0,1,
ITI_0655,NA,NA,SP834a,NA,0,0,0,0,0,0,0,0,1,
ITI_0015,NA,NA,C.FR.NE/1,NA,0,0,0,0,0,0,0,0,1,
ITI_0316,NA,NA,SP57,NA,0,0,0,0,0,0,0,0,1,
ITI_0299,NA,NA,SP59,NA,0,0,0,0,0,0,0,0,1,
ITI_1057,NA,NA,NA,S 27/185,0,0,0,0,0,0,0,0,1,
ITI_1203,NA,NA,NA,S 27/182,0,0,0,0,0,0,0,0,1,
ITI_1187,NA,NA,NA,S 27/181,0,0,0,0,0,0,0,0,1,
ITI_1056,NA,NA,NA,S 37/187,0,0,0,0,0,0,0,0,1,
ITI_1069,NA,NA,NA,S 37/178,0,0,0,0,0,0,0,0,1,
ITI_1059,NA,NA,NA,S 37/229,0,0,0,0,0,0,0,0,1,
ITI_0650,NA,NA,NA,S 37/223,0,0,0,0,0,0,0,0,1,
ITI_1153,NA,NA,NA,S 37/202,0,0,0,0,0,0,0,0,1,
ITI_1068,NA,NA,NA,S 37/180,0,0,0,0,0,0,0,0,1,
ITI_1049,NA,NA,NA,S 37/225,0,0,0,0,0,0,0,0,1,
ITI_0653,NA,NA,NA,S 37/216,0,0,0,0,0,0,0,0,1,
ITI_1198,NA,NA,NA,S 33/44,0,0,0,0,0,0,0,0,1,
ITI_1200,NA,NA,NA,S 37/173,0,0,0,0,0,0,0,0,1,
ITI_1163,NA,NA,NA,S 37/192,0,0,0,0,0,0,0,0,1,
ITI_1046,NA,NA,NA,S 37/237,0,0,0,0,0,0,0,0,1,
ITI_1151,NA,NA,NA,S 37/201,0,0,0,0,0,0,0,0,1,
ITI_1113,NA,NA,NA,S 37/88,0,0,0,0,0,0,0,0,1,
ITI_1114,NA,NA,NA,S 37/85,0,0,0,0,0,0,0,0,1,
ITI_1071,NA,NA,NA,S 37/167,0,0,0,0,0,0,0,0,1,
ITI_0652,NA,NA,NA,S 37/218,0,0,0,0,0,0,0,0,1,
ITI_1112,NA,NA,NA,S 37/86,0,0,0,0,0,0,0,0,1,
